"","date","rides"
"92849",2019-09-09,9100
"92850",2019-09-10,9281
"92851",2019-09-11,9216
"92852",2019-09-12,9098
"92853",2019-09-13,8941
"92854",2019-09-14,2840
"92855",2019-09-15,1675
"92856",2019-09-16,9198
"92857",2019-09-17,9233
"92858",2019-09-18,9486
"92859",2019-09-19,9320
"92860",2019-09-20,8797
"92861",2019-09-21,2762
"92862",2019-09-22,1485
"92863",2019-09-23,8952
"92864",2019-09-24,8875
"92865",2019-09-25,9127
"92866",2019-09-26,8970
"92867",2019-09-27,7643
"92868",2019-09-28,2652
"92869",2019-09-29,1597
"92870",2019-09-30,8786
"97163",2019-10-01,8887
"97164",2019-10-02,9085
"97165",2019-10-03,8870
"97166",2019-10-04,8606
"97167",2019-10-05,2375
"97168",2019-10-06,1817
"97169",2019-10-07,8875
"97170",2019-10-08,8854
"97171",2019-10-09,8440
"97172",2019-10-10,8895
"97173",2019-10-11,8351
"97174",2019-10-12,2803
"97175",2019-10-13,7321
"97176",2019-10-14,8416
"97177",2019-10-15,8869
"97178",2019-10-16,8927
"97179",2019-10-17,8974
"97180",2019-10-18,8406
"97181",2019-10-19,2650
"97182",2019-10-20,1811
"97183",2019-10-21,8497
"97184",2019-10-22,8553
"97185",2019-10-23,8916
"97186",2019-10-24,8727
"97187",2019-10-25,8411
"97188",2019-10-26,2233
"97189",2019-10-27,1763
"97190",2019-10-28,8522
"97191",2019-10-29,8621
"97192",2019-10-30,8790
"97193",2019-10-31,7925
"101597",2019-11-01,8089
"101598",2019-11-02,2262
"101599",2019-11-03,2066
"101600",2019-11-04,8577
"101601",2019-11-05,8685
"101602",2019-11-06,8899
"101603",2019-11-07,8545
"101604",2019-11-08,8071
"101605",2019-11-09,2392
"101606",2019-11-10,1698
"101607",2019-11-11,7839
"101608",2019-11-12,8408
"101609",2019-11-13,8551
"101610",2019-11-14,8195
"101611",2019-11-15,8015
"101612",2019-11-16,2417
"101613",2019-11-17,1530
"101614",2019-11-18,8436
"101615",2019-11-19,8300
"101616",2019-11-20,8687
"101617",2019-11-21,8395
"101618",2019-11-22,8619
"101619",2019-11-23,2431
"101620",2019-11-24,1655
"101621",2019-11-25,8402
"101622",2019-11-26,7746
"101623",2019-11-27,6483
"101624",2019-11-28,1105
"101625",2019-11-29,1439
"101626",2019-11-30,1269
"105952",2019-12-01,1222
"105953",2019-12-02,7952
"105954",2019-12-03,7983
"105955",2019-12-04,8318
"105956",2019-12-05,8103
"105957",2019-12-06,7849
"105958",2019-12-07,2163
"105959",2019-12-08,1457
"105960",2019-12-09,5952
"105961",2019-12-10,5919
"105962",2019-12-11,6139
"105963",2019-12-12,5659
"105964",2019-12-13,5661
"105965",2019-12-14,1921
"105966",2019-12-15,1210
"105967",2019-12-16,3226
"105968",2019-12-17,3304
"105969",2019-12-18,3027
"105970",2019-12-19,2974
"105971",2019-12-20,2806
"105972",2019-12-21,1206
"105973",2019-12-22,1008
"105974",2019-12-23,1951
"105975",2019-12-24,1061
"105976",2019-12-25,494
"105977",2019-12-26,1407
"105978",2019-12-27,1550
"105979",2019-12-28,1055
"105980",2019-12-29,883
"105981",2019-12-30,1599
"105982",2019-12-31,1397
"110430",2020-01-01,958
"110431",2020-01-02,2143
"110432",2020-01-03,2215
"110433",2020-01-04,1170
"110434",2020-01-05,840
"110435",2020-01-06,2858
"110436",2020-01-07,2884
"110437",2020-01-08,3053
"110438",2020-01-09,3197
"110439",2020-01-10,3054
"110440",2020-01-11,1222
"110441",2020-01-12,1238
"110442",2020-01-13,7990
"110443",2020-01-14,8014
"110444",2020-01-15,8272
"110445",2020-01-16,7889
"110446",2020-01-17,7382
"110447",2020-01-18,1798
"110448",2020-01-19,1201
"110449",2020-01-20,2158
"110450",2020-01-21,7855
"110451",2020-01-22,8053
"110452",2020-01-23,7790
"110453",2020-01-24,7334
"110454",2020-01-25,1852
"110455",2020-01-26,1389
