"","date","rides"
"98698",2019-10-17,13861
"98699",2019-10-18,18227
"98700",2019-10-19,11009
"98701",2019-10-20,11826
"98702",2019-10-21,11696
"98703",2019-10-22,10229
"98704",2019-10-23,10805
"98705",2019-10-24,12437
"98706",2019-10-25,13490
"98707",2019-10-26,8278
"98708",2019-10-27,9481
"98709",2019-10-28,11503
"98710",2019-10-29,9614
"98711",2019-10-30,9198
"98712",2019-10-31,9261
"103067",2019-11-01,12425
"103068",2019-11-02,8356
"103069",2019-11-03,10117
"103070",2019-11-04,11548
"103071",2019-11-05,9670
"103072",2019-11-06,9565
"103073",2019-11-07,11887
"103074",2019-11-08,12476
"103075",2019-11-09,8860
"103076",2019-11-10,10219
"103077",2019-11-11,9440
"103078",2019-11-12,11341
"103079",2019-11-13,9483
"103080",2019-11-14,11194
"103081",2019-11-15,12138
"103082",2019-11-16,8126
"103083",2019-11-17,9713
"103084",2019-11-18,11189
"103085",2019-11-19,9894
"103086",2019-11-20,9610
"103087",2019-11-21,11124
"103088",2019-11-22,11815
"103089",2019-11-23,8606
"103090",2019-11-24,8920
"103091",2019-11-25,9869
"103092",2019-11-26,10747
"103093",2019-11-27,11864
"103094",2019-11-28,7350
"103095",2019-11-29,9355
"103096",2019-11-30,11732
"107471",2019-12-01,16442
"107472",2019-12-02,13692
"107473",2019-12-03,10890
"107474",2019-12-04,10139
"107475",2019-12-05,12085
"107476",2019-12-06,11737
"107477",2019-12-07,8152
"107478",2019-12-08,9151
"107479",2019-12-09,10453
"107480",2019-12-10,9109
"107481",2019-12-11,9087
"107482",2019-12-12,10982
"107483",2019-12-13,11747
"107484",2019-12-14,8123
"107485",2019-12-15,8896
"107486",2019-12-16,9770
"107487",2019-12-17,9597
"107488",2019-12-18,9553
"107489",2019-12-19,9941
"107490",2019-12-20,10349
"107491",2019-12-21,7949
"107492",2019-12-22,7987
"107493",2019-12-23,8831
"107494",2019-12-24,7486
"107495",2019-12-25,7049
"107496",2019-12-26,11547
"107497",2019-12-27,11562
"107498",2019-12-28,10084
"107499",2019-12-29,10802
"107500",2019-12-30,10352
"107501",2019-12-31,8745
"111950",2020-01-01,8750
"111951",2020-01-02,9782
"111952",2020-01-03,8915
"111953",2020-01-04,7667
"111954",2020-01-05,8429
"111955",2020-01-06,9458
"111956",2020-01-07,8407
"111957",2020-01-08,8224
"111958",2020-01-09,9548
"111959",2020-01-10,9484
"111960",2020-01-11,6140
"111961",2020-01-12,8648
"111962",2020-01-13,9471
"111963",2020-01-14,8154
"111964",2020-01-15,8008
"111965",2020-01-16,9131
"111966",2020-01-17,11557
"111967",2020-01-18,8042
"111968",2020-01-19,7142
"111969",2020-01-20,9566
"111970",2020-01-21,9241
"111971",2020-01-22,8213
"111972",2020-01-23,8911
"111973",2020-01-24,9867
"111974",2020-01-25,6933
"111975",2020-01-26,8123
"111976",2020-01-27,8992
"111977",2020-01-28,7926
"111978",2020-01-29,7802
"111979",2020-01-30,8739
"111980",2020-01-31,9256
"116266",2020-02-01,6961
"116267",2020-02-02,7978
"116268",2020-02-03,9120
"116269",2020-02-04,7816
"116270",2020-02-05,8016
"116271",2020-02-06,8511
"116272",2020-02-07,9283
"116273",2020-02-08,7015
"116274",2020-02-09,7668
"116275",2020-02-10,9523
"116276",2020-02-11,8407
"116277",2020-02-12,8237
"116278",2020-02-13,9036
"116279",2020-02-14,10636
"116280",2020-02-15,7409
"116281",2020-02-16,8184
"116282",2020-02-17,9540
"116283",2020-02-18,9210
"116284",2020-02-19,8599
"116285",2020-02-20,9259
"116286",2020-02-21,9679
"116287",2020-02-22,7116
"116288",2020-02-23,8548
"116289",2020-02-24,9338
"116290",2020-02-25,8078
"116291",2020-02-26,8051
"116292",2020-02-27,9105
"116293",2020-02-28,10072
"116294",2020-02-29,7510
"120380",2020-03-01,8696
"120381",2020-03-02,9597
"120382",2020-03-03,8442
"120383",2020-03-04,8325
"120384",2020-03-05,9327
"120385",2020-03-06,9802
"120386",2020-03-07,7521
"120387",2020-03-08,8927
"120388",2020-03-09,9215
"120389",2020-03-10,8168
"120390",2020-03-11,7749
"120391",2020-03-12,8430
"120392",2020-03-13,8556
"120393",2020-03-14,5717
"120394",2020-03-15,6149
"120395",2020-03-16,6138
"120396",2020-03-17,5282
