"","date","rides"
"82697",2019-06-29,5215
"82698",2019-06-30,15800
"86976",2019-07-01,6263
"86977",2019-07-02,6217
"86978",2019-07-03,5992
"86979",2019-07-04,3968
"86980",2019-07-05,4881
"86981",2019-07-06,5067
"86982",2019-07-07,3678
"86983",2019-07-08,5866
"86984",2019-07-09,6363
"86985",2019-07-10,6488
"86986",2019-07-11,6649
"86987",2019-07-12,16156
"86988",2019-07-13,13029
"86989",2019-07-14,11968
"86990",2019-07-15,12974
"86991",2019-07-16,13957
"86992",2019-07-17,14502
"86993",2019-07-18,6427
"86994",2019-07-19,15414
"86995",2019-07-20,13885
"86996",2019-07-21,12350
"86997",2019-07-22,6396
"86998",2019-07-23,6542
"86999",2019-07-24,6555
"87000",2019-07-25,6479
"87001",2019-07-26,6776
"87002",2019-07-27,6887
"87003",2019-07-28,4017
"87004",2019-07-29,5699
"87005",2019-07-30,6709
"87006",2019-07-31,6521
"91447",2019-08-01,7267
"91448",2019-08-02,17102
"91449",2019-08-03,14590
"91450",2019-08-04,12997
"91451",2019-08-05,14351
"91452",2019-08-06,14974
"91453",2019-08-07,15712
"91454",2019-08-08,6718
"91455",2019-08-09,7016
"91456",2019-08-10,8356
"91457",2019-08-11,6494
"91458",2019-08-12,5935
"91459",2019-08-13,6126
"91460",2019-08-14,6284
"91461",2019-08-15,6380
"91462",2019-08-16,6254
"91463",2019-08-17,4739
"91464",2019-08-18,3606
"91465",2019-08-19,5901
"91466",2019-08-20,12577
"91467",2019-08-21,13707
"91468",2019-08-22,13996
"91469",2019-08-23,15812
"91470",2019-08-24,13890
"91471",2019-08-25,11713
"91472",2019-08-26,5651
"91473",2019-08-27,6127
"91474",2019-08-28,6170
"91475",2019-08-29,6471
"91476",2019-08-30,14335
"91477",2019-08-31,10152
"95751",2019-09-01,12842
"95752",2019-09-02,10547
"95753",2019-09-03,11916
"95754",2019-09-04,6813
"95755",2019-09-05,6963
"95756",2019-09-06,6764
"95757",2019-09-07,4952
"95758",2019-09-08,3536
"95759",2019-09-09,6226
"95760",2019-09-10,6551
"95761",2019-09-11,6764
"95762",2019-09-12,7202
"95763",2019-09-13,15293
"95764",2019-09-14,13269
"95765",2019-09-15,10729
"95766",2019-09-16,12450
"95767",2019-09-17,12695
"95768",2019-09-18,13842
"95769",2019-09-19,14153
"95770",2019-09-20,16514
"95771",2019-09-21,13396
"95772",2019-09-22,9724
"95773",2019-09-23,6885
"95774",2019-09-24,6902
"95775",2019-09-25,6795
"95776",2019-09-26,7032
"95777",2019-09-27,6397
"95778",2019-09-28,4829
"95779",2019-09-29,3941
"95780",2019-09-30,6375
"100170",2019-10-01,6649
"100171",2019-10-02,6666
"100172",2019-10-03,6922
"100173",2019-10-04,7061
"100174",2019-10-05,4465
"100175",2019-10-06,3671
"100176",2019-10-07,6391
"100177",2019-10-08,6579
"100178",2019-10-09,6646
"100179",2019-10-10,7140
"100180",2019-10-11,6786
"100181",2019-10-12,5589
"100182",2019-10-13,7757
"100183",2019-10-14,6165
"100184",2019-10-15,6812
"100185",2019-10-16,6885
"100186",2019-10-17,6947
"100187",2019-10-18,7572
"100188",2019-10-19,5780
"100189",2019-10-20,4128
"100190",2019-10-21,6300
"100191",2019-10-22,6406
"100192",2019-10-23,6709
"100193",2019-10-24,6827
"100194",2019-10-25,6498
"100195",2019-10-26,4176
"100196",2019-10-27,4080
"100197",2019-10-28,6272
"100198",2019-10-29,6472
"100199",2019-10-30,6190
"100200",2019-10-31,6415
"104507",2019-11-01,6523
"104508",2019-11-02,4522
"104509",2019-11-03,3834
"104510",2019-11-04,6353
"104511",2019-11-05,6535
"104512",2019-11-06,6534
"104513",2019-11-07,6620
"104514",2019-11-08,6343
"104515",2019-11-09,4929
"104516",2019-11-10,3621
"104517",2019-11-11,5453
"104518",2019-11-12,6141
"104519",2019-11-13,6281
"104520",2019-11-14,6406
"104521",2019-11-15,6500
"104522",2019-11-16,5484
"104523",2019-11-17,3222
"104524",2019-11-18,6242
"104525",2019-11-19,6489
"104526",2019-11-20,6346
"104527",2019-11-21,6460
"104528",2019-11-22,6834
"104529",2019-11-23,5774
"104530",2019-11-24,3731
"104531",2019-11-25,5978
"104532",2019-11-26,5666
"104533",2019-11-27,4467
"104534",2019-11-28,1746
"104535",2019-11-29,3359
"104536",2019-11-30,2794
"108959",2019-12-01,2423
"108960",2019-12-02,5704
"108961",2019-12-03,6051
